,index,drugA,drugB,event,label
397,167229,Paroxetine,Viloxazine,The risk or severity of adverse effects increase,2
398,167291,Paroxetine,Tranylcypromine,the serotonergic activities increase,41
399,167292,Paroxetine,Phenelzine,the serotonergic activities increase,41
400,167294,Paroxetine,Selegiline,the serotonergic activities increase,41
401,167295,Paroxetine,Moclobemide,the serotonergic activities increase,41
402,167325,Paroxetine,Clomipramine,The metabolism decrease,0
403,167327,Desipramine,Paroxetine,The metabolism decrease,0
404,167328,Vilazodone,Paroxetine,The metabolism decrease,0
405,167329,Dosulepin,Paroxetine,The metabolism decrease,0
406,167350,Maprotiline,Paroxetine,The metabolism decrease,0
407,167351,Sertraline,Paroxetine,The metabolism decrease,0
408,167352,Nefazodone,Paroxetine,The metabolism decrease,0
409,167353,Quetiapine,Paroxetine,The metabolism decrease,0
410,167358,Cariprazine,Paroxetine,The metabolism decrease,0
411,167361,Levomilnacipran,Paroxetine,The metabolism decrease,0
412,167433,Doxepin,Paroxetine,The metabolism decrease,0
413,167434,Paroxetine,Trimipramine,The metabolism decrease,0
414,167595,Paroxetine,Esketamine,The risk or severity of adverse effects increase,2
415,167606,Paroxetine,Escitalopram,The risk or severity of serotonin syndrome increase,21
416,168992,Trimipramine,Zimelidine,The risk or severity of adverse effects increase,2
417,168993,Trimipramine,Sertraline,The risk or severity of adverse effects increase,2
418,169050,Trimipramine,Phenelzine,the serotonergic activities increase,41
419,169052,Trimipramine,Selegiline,the serotonergic activities increase,41
420,169053,Trimipramine,Moclobemide,the serotonergic activities increase,41
421,169061,Trimipramine,Maprotiline,the central nervous system depressant ( CNS depressant ) activities increase,7
422,169132,Tranylcypromine,Trimipramine,The metabolism decrease,0
423,169133,Desipramine,Trimipramine,The metabolism decrease,0
424,169134,Vilazodone,Trimipramine,The metabolism decrease,0
425,169135,Dosulepin,Trimipramine,The metabolism decrease,0
426,169177,Trimipramine,Brexanolone,The risk or severity of adverse effects increase,2
427,169224,Trimipramine,Clomipramine,The risk or severity of adverse effects increase,2
428,169233,Trimipramine,Cariprazine,The risk or severity of adverse effects increase,2
429,169235,Trimipramine,Mianserin,The risk or severity of adverse effects increase,2
430,169242,Trimipramine,Vortioxetine,The risk or severity of adverse effects increase,2
431,169259,Trimipramine,Nefazodone,the orthostatic hypotensive hypotensive and antihypertensive activities increase,39
432,169260,Trimipramine,Doxepin,the orthostatic hypotensive hypotensive and antihypertensive activities increase,39
433,169261,Trimipramine,Quetiapine,the orthostatic hypotensive hypotensive and antihypertensive activities increase,39
434,169283,Trimipramine,Viloxazine,The risk or severity of adverse effects increase,2
435,169291,Trimipramine,Desvenlafaxine,The risk or severity of adverse effects increase,2
436,169292,Trimipramine,Levomilnacipran,The risk or severity of adverse effects increase,2
437,169375,Trimipramine,Agomelatine,The metabolism decrease,0
438,169485,Esketamine,Trimipramine,The risk or severity of hypertension increase,9
439,169493,Trimipramine,Escitalopram,The risk or severity of serotonin syndrome increase,21
440,169496,Trimipramine,Bupropion,The risk or severity of seizure increase,63
441,174319,Tranylcypromine,Bupropion,The risk or severity of adverse effects increase,2
442,174377,Tranylcypromine,Zimelidine,the serotonergic activities increase,41
443,174380,Tranylcypromine,Nefazodone,the serotonergic activities increase,41
444,174382,Tranylcypromine,Desvenlafaxine,the serotonergic activities increase,41
445,174383,Tranylcypromine,Levomilnacipran,the serotonergic activities increase,41
446,174442,Maprotiline,Tranylcypromine,The metabolism decrease,0
447,174443,Selegiline,Tranylcypromine,The metabolism decrease,0
448,174445,Doxepin,Tranylcypromine,The metabolism decrease,0
449,174446,Desipramine,Tranylcypromine,The metabolism decrease,0
450,174447,Moclobemide,Tranylcypromine,The metabolism decrease,0
451,174448,Quetiapine,Tranylcypromine,The metabolism decrease,0
452,174449,Clomipramine,Tranylcypromine,The metabolism decrease,0
453,174453,Cariprazine,Tranylcypromine,The metabolism decrease,0
454,174455,Mianserin,Tranylcypromine,The metabolism decrease,0
455,174457,Vilazodone,Tranylcypromine,The metabolism decrease,0
456,174459,Vortioxetine,Tranylcypromine,The metabolism decrease,0
457,174460,Dosulepin,Tranylcypromine,The metabolism decrease,0
458,174542,Tranylcypromine,Brexanolone,The risk or severity of adverse effects increase,2
459,174576,Tranylcypromine,Phenelzine,The risk or severity of adverse effects increase,2
460,174601,Tranylcypromine,Viloxazine,The risk or severity of adverse effects increase,2
461,174673,Agomelatine,Tranylcypromine,The metabolism decrease,0
462,174740,Esketamine,Tranylcypromine,The risk or severity of hypertension increase,9
463,174745,Tranylcypromine,Escitalopram,The risk or severity of serotonin syndrome increase,21
464,174748,Tranylcypromine,Sertraline,The risk or severity of serotonin syndrome increase,21
465,179797,Phenelzine,Bupropion,The risk or severity of adverse effects increase,2
466,179800,Phenelzine,Maprotiline,The risk or severity of adverse effects increase,2
467,179801,Phenelzine,Mianserin,The risk or severity of adverse effects increase,2
468,179874,Phenelzine,Zimelidine,the serotonergic activities increase,41
469,179877,Phenelzine,Nefazodone,the serotonergic activities increase,41
470,179879,Phenelzine,Desvenlafaxine,the serotonergic activities increase,41
471,179880,Phenelzine,Levomilnacipran,the serotonergic activities increase,41
472,179882,Phenelzine,Doxepin,the serotonergic activities increase,41
473,179883,Phenelzine,Desipramine,the serotonergic activities increase,41
474,179884,Phenelzine,Clomipramine,the serotonergic activities increase,41
475,179932,Phenelzine,Agomelatine,The risk or severity of adverse effects increase,2
476,179938,Phenelzine,Brexanolone,The risk or severity of adverse effects increase,2
477,179959,Cariprazine,Phenelzine,The metabolism decrease,0
478,179960,Vilazodone,Phenelzine,The metabolism decrease,0
479,179961,Vortioxetine,Phenelzine,The metabolism decrease,0
480,179974,Phenelzine,Selegiline,The risk or severity of adverse effects increase,2
481,179975,Phenelzine,Moclobemide,The risk or severity of adverse effects increase,2
482,179989,Phenelzine,Quetiapine,The risk or severity of adverse effects increase,2
483,180007,Phenelzine,Viloxazine,The risk or severity of adverse effects increase,2
484,180255,Esketamine,Phenelzine,The risk or severity of hypertension increase,9
485,180260,Phenelzine,Escitalopram,The risk or severity of serotonin syndrome increase,21
486,180263,Phenelzine,Sertraline,The risk or severity of serotonin syndrome increase,21
487,180368,Dosulepin,Phenelzine,The metabolism decrease,0
488,210867,Maprotiline,Mianserin,the anticholinergic activities increase,60
489,210873,Maprotiline,Selegiline,The risk or severity of adverse effects increase,2
490,210874,Maprotiline,Moclobemide,The risk or severity of adverse effects increase,2
491,210882,Maprotiline,Zimelidine,The risk or severity of adverse effects increase,2
492,210884,Maprotiline,Sertraline,The risk or severity of adverse effects increase,2
493,210886,Maprotiline,Nefazodone,The risk or severity of adverse effects increase,2
494,210888,Maprotiline,Desvenlafaxine,The risk or severity of adverse effects increase,2
495,210889,Maprotiline,Levomilnacipran,The risk or severity of adverse effects increase,2
496,210961,Brexanolone,Maprotiline,the central nervous system depressant ( CNS depressant ) activities increase,7
497,210971,Maprotiline,Doxepin,the central nervous system depressant ( CNS depressant ) activities increase,7
498,210972,Clomipramine,Maprotiline,the central nervous system depressant ( CNS depressant ) activities increase,7
499,211014,Desipramine,Maprotiline,The metabolism decrease,0
500,211015,Vilazodone,Maprotiline,The metabolism decrease,0
501,211016,Dosulepin,Maprotiline,The metabolism decrease,0
502,211050,Maprotiline,Quetiapine,The risk or severity of adverse effects increase,2
503,211064,Maprotiline,Cariprazine,The risk or severity of adverse effects increase,2
504,211073,Maprotiline,Vortioxetine,The risk or severity of adverse effects increase,2
505,211075,Maprotiline,Viloxazine,The risk or severity of adverse effects increase,2
506,211285,Agomelatine,Maprotiline,The metabolism decrease,0
507,211309,Maprotiline,Esketamine,The risk or severity of adverse effects increase,2
508,211314,Maprotiline,Escitalopram,The risk or severity of serotonin syndrome increase,21
509,211317,Maprotiline,Bupropion,The risk or severity of seizure increase,63
510,229641,Selegiline,Bupropion,The risk or severity of adverse effects increase,2
511,229642,Selegiline,Mianserin,The risk or severity of adverse effects increase,2
512,229697,Selegiline,Zimelidine,the serotonergic activities increase,41
513,229700,Selegiline,Nefazodone,the serotonergic activities increase,41
514,229702,Selegiline,Desvenlafaxine,the serotonergic activities increase,41
515,229703,Selegiline,Levomilnacipran,the serotonergic activities increase,41
516,229705,Selegiline,Doxepin,the serotonergic activities increase,41
517,229706,Selegiline,Clomipramine,the serotonergic activities increase,41
518,229735,Desipramine,Selegiline,The metabolism decrease,0
519,229736,Vilazodone,Selegiline,The metabolism decrease,0
520,229737,Dosulepin,Selegiline,The metabolism decrease,0
521,229775,Selegiline,Brexanolone,The risk or severity of adverse effects increase,2
522,229789,Cariprazine,Selegiline,The metabolism decrease,0
523,229790,Vortioxetine,Selegiline,The metabolism decrease,0
524,229811,Selegiline,Moclobemide,The risk or severity of adverse effects increase,2
525,229826,Selegiline,Quetiapine,The risk or severity of adverse effects increase,2
526,229844,Selegiline,Viloxazine,The risk or severity of adverse effects increase,2
527,229972,Agomelatine,Selegiline,The metabolism decrease,0
528,230055,Esketamine,Selegiline,The risk or severity of hypertension increase,9
529,230061,Selegiline,Escitalopram,The risk or severity of serotonin syndrome increase,21
530,230064,Selegiline,Sertraline,The risk or severity of serotonin syndrome increase,21
531,240755,Agomelatine,Sertraline,The risk or severity of adverse effects increase,2
532,240765,Brexanolone,Sertraline,The risk or severity of adverse effects increase,2
533,240769,Sertraline,Nefazodone,The risk or severity of adverse effects increase,2
534,240771,Sertraline,Quetiapine,The risk or severity of adverse effects increase,2
535,240784,Sertraline,Cariprazine,The risk or severity of adverse effects increase,2
536,240790,Sertraline,Desvenlafaxine,The risk or severity of adverse effects increase,2
537,240792,Sertraline,Levomilnacipran,The risk or severity of adverse effects increase,2
538,240795,Sertraline,Viloxazine,The risk or severity of adverse effects increase,2
539,240800,Zimelidine,Sertraline,The risk or severity of adverse effects increase,2
540,240844,Sertraline,Clomipramine,The metabolism decrease,0
541,240846,Desipramine,Sertraline,The metabolism decrease,0
542,240847,Vilazodone,Sertraline,The metabolism decrease,0
543,240848,Dosulepin,Sertraline,The metabolism decrease,0
544,240910,Mianserin,Sertraline,The metabolism decrease,0
545,240930,Vortioxetine,Sertraline,The metabolism decrease,0
546,240972,Doxepin,Sertraline,The metabolism decrease,0
547,241000,Sertraline,Esketamine,The risk or severity of adverse effects increase,2
548,241007,Sertraline,Escitalopram,The risk or severity of serotonin syndrome increase,21
549,241014,Sertraline,Moclobemide,The risk or severity of serotonin syndrome increase,21
550,241017,Sertraline,Bupropion,The risk or severity of seizure increase,63
551,247256,Doxepin,Mianserin,the anticholinergic activities increase,60
552,247277,Doxepin,Zimelidine,The risk or severity of adverse effects increase,2
553,247316,Doxepin,Moclobemide,the serotonergic activities increase,41
554,247323,Brexanolone,Doxepin,the central nervous system depressant ( CNS depressant ) activities increase,7
555,247343,Doxepin,Vortioxetine,the central nervous system depressant ( CNS depressant ) activities increase,7
556,247360,Cariprazine,Doxepin,the central nervous system depressant ( CNS depressant ) activities increase,7
557,247371,Viloxazine,Doxepin,the central nervous system depressant ( CNS depressant ) activities increase,7
558,247407,Doxepin,Clomipramine,The metabolism decrease,0
559,247408,Desipramine,Doxepin,The metabolism decrease,0
560,247409,Vilazodone,Doxepin,The metabolism decrease,0
561,247410,Dosulepin,Doxepin,The metabolism decrease,0
562,247430,Doxepin,Nefazodone,the orthostatic hypotensive hypotensive and antihypertensive activities increase,39
563,247431,Doxepin,Quetiapine,the orthostatic hypotensive hypotensive and antihypertensive activities increase,39
564,247459,Doxepin,Desvenlafaxine,The risk or severity of adverse effects increase,2
565,247460,Doxepin,Levomilnacipran,The risk or severity of adverse effects increase,2
566,247600,Doxepin,Agomelatine,The metabolism decrease,0
567,247649,Esketamine,Doxepin,The risk or severity of hypertension increase,9
568,247657,Doxepin,Escitalopram,The risk or severity of serotonin syndrome increase,21
569,247660,Doxepin,Bupropion,The risk or severity of seizure increase,63
570,247795,Levomilnacipran,Nefazodone,The metabolism decrease,0
571,247803,Quetiapine,Nefazodone,The serum concentration increase,4
572,247808,Vilazodone,Nefazodone,The metabolism decrease,0
573,247819,Nefazodone,Zimelidine,The risk or severity of adverse effects increase,2
574,247833,Agomelatine,Nefazodone,The risk or severity of adverse effects increase,2
575,247839,Brexanolone,Nefazodone,The risk or severity of adverse effects increase,2
576,247851,Nefazodone,Cariprazine,The risk or severity of adverse effects increase,2
577,247853,Nefazodone,Mianserin,The risk or severity of adverse effects increase,2
578,247856,Nefazodone,Desvenlafaxine,The risk or severity of adverse effects increase,2
579,247859,Nefazodone,Vortioxetine,The risk or severity of adverse effects increase,2
580,247861,Nefazodone,Viloxazine,The risk or severity of adverse effects increase,2
581,247933,Nefazodone,Moclobemide,the serotonergic activities increase,41
582,247994,Desipramine,Nefazodone,The metabolism decrease,0
583,247995,Dosulepin,Nefazodone,The metabolism decrease,0
584,248008,Bupropion,Nefazodone,The metabolism decrease,0
585,248045,Clomipramine,Nefazodone,The risk or severity of adverse effects increase,2
586,248175,Esketamine,Nefazodone,The risk or severity of hypertension increase,9
587,248185,Nefazodone,Escitalopram,The risk or severity of serotonin syndrome increase,21
588,248240,Desipramine,Mianserin,the anticholinergic activities increase,60
589,248258,Desipramine,Zimelidine,The risk or severity of adverse effects increase,2
590,248313,Brexanolone,Desipramine,the central nervous system depressant ( CNS depressant ) activities increase,7
591,248338,Viloxazine,Desipramine,the central nervous system depressant ( CNS depressant ) activities increase,7
592,248379,Moclobemide,Desipramine,The metabolism decrease,0
593,248380,Quetiapine,Desipramine,The metabolism decrease,0
594,248381,Clomipramine,Desipramine,The metabolism decrease,0
595,248385,Cariprazine,Desipramine,The metabolism decrease,0
596,248388,Vilazodone,Desipramine,The metabolism decrease,0
597,248389,Levomilnacipran,Desipramine,The metabolism decrease,0
598,248391,Vortioxetine,Desipramine,The metabolism decrease,0
599,248392,Dosulepin,Desipramine,The metabolism decrease,0
600,248486,Desipramine,Desvenlafaxine,The risk or severity of adverse effects increase,2
601,248601,Agomelatine,Desipramine,The metabolism decrease,0
602,248624,Esketamine,Desipramine,The risk or severity of hypertension increase,9
603,248631,Desipramine,Escitalopram,The risk or severity of serotonin syndrome increase,21
604,248635,Desipramine,Bupropion,The risk or severity of seizure increase,63
605,249283,Moclobemide,Bupropion,The risk or severity of adverse effects increase,2
606,249291,Bupropion,Vortioxetine,The risk or severity of adverse effects increase,2
607,249292,Bupropion,Zimelidine,The risk or severity of adverse effects increase,2
608,249302,Escitalopram,Bupropion,The metabolism decrease,0
609,249303,Quetiapine,Bupropion,The metabolism decrease,0
610,249309,Cariprazine,Bupropion,The metabolism decrease,0
611,249311,Mianserin,Bupropion,The metabolism decrease,0
612,249313,Levomilnacipran,Bupropion,The metabolism decrease,0
613,249376,Vilazodone,Bupropion,The metabolism decrease,0
614,249410,Bupropion,Brexanolone,The risk or severity of adverse effects increase,2
615,249434,Bupropion,Viloxazine,The risk or severity of adverse effects increase,2
616,249566,Bupropion,Agomelatine,The metabolism decrease,0
617,249607,Bupropion,Esketamine,The risk or severity of adverse effects increase,2
618,249614,Bupropion,Clomipramine,The risk or severity of seizure increase,63
619,249615,Bupropion,Desvenlafaxine,The risk or severity of seizure increase,63
620,249618,Bupropion,Dosulepin,The risk or severity of seizure increase,63
621,251719,Moclobemide,Mianserin,The risk or severity of adverse effects increase,2
622,251762,Moclobemide,Zimelidine,the serotonergic activities increase,41
623,251765,Moclobemide,Desvenlafaxine,the serotonergic activities increase,41
624,251766,Moclobemide,Levomilnacipran,the serotonergic activities increase,41
625,251768,Moclobemide,Clomipramine,the serotonergic activities increase,41
626,251791,Vilazodone,Moclobemide,The metabolism decrease,0
627,251792,Dosulepin,Moclobemide,The metabolism decrease,0
628,251832,Moclobemide,Brexanolone,The risk or severity of adverse effects increase,2
629,251846,Cariprazine,Moclobemide,The metabolism decrease,0
630,251847,Vortioxetine,Moclobemide,The metabolism decrease,0
631,251864,Moclobemide,Quetiapine,The risk or severity of adverse effects increase,2
632,251884,Moclobemide,Viloxazine,The risk or severity of adverse effects increase,2
633,251937,Moclobemide,Agomelatine,The metabolism decrease,0
634,251989,Esketamine,Moclobemide,The risk or severity of hypertension increase,9
635,251994,Moclobemide,Escitalopram,The risk or severity of serotonin syndrome increase,21
636,252991,Agomelatine,Escitalopram,The risk or severity of adverse effects increase,2
637,252998,Brexanolone,Escitalopram,The risk or severity of adverse effects increase,2
638,253021,Escitalopram,Viloxazine,The risk or severity of adverse effects increase,2
639,253163,Escitalopram,Esketamine,The risk or severity of adverse effects increase,2
640,253174,Escitalopram,Zimelidine,The risk or severity of serotonin syndrome increase,21
641,253189,Escitalopram,Quetiapine,The risk or severity of serotonin syndrome increase,21
642,253190,Escitalopram,Clomipramine,The risk or severity of serotonin syndrome increase,21
643,253198,Escitalopram,Cariprazine,The risk or severity of serotonin syndrome increase,21
644,253200,Escitalopram,Mianserin,The risk or severity of serotonin syndrome increase,21
645,253203,Escitalopram,Vilazodone,The risk or severity of serotonin syndrome increase,21
646,253204,Escitalopram,Desvenlafaxine,The risk or severity of serotonin syndrome increase,21
647,253206,Escitalopram,Levomilnacipran,The risk or severity of serotonin syndrome increase,21
648,253207,Escitalopram,Vortioxetine,The risk or severity of serotonin syndrome increase,21
649,253208,Escitalopram,Dosulepin,The risk or severity of serotonin syndrome increase,21
650,260850,Quetiapine,Mianserin,the anticholinergic activities increase,60
651,260881,Quetiapine,Desvenlafaxine,The risk or severity of adverse effects increase,2
652,260882,Quetiapine,Levomilnacipran,The risk or severity of adverse effects increase,2
653,260883,Zimelidine,Quetiapine,The risk or severity of adverse effects increase,2
654,260934,Clomipramine,Quetiapine,the central nervous system depressant ( CNS depressant ) activities increase,7
655,261004,Vilazodone,Quetiapine,The metabolism decrease,0
656,261005,Dosulepin,Quetiapine,The metabolism decrease,0
657,261019,Quetiapine,Agomelatine,The risk or severity of adverse effects increase,2
658,261023,Quetiapine,Brexanolone,The risk or severity of adverse effects increase,2
659,261041,Quetiapine,Cariprazine,The risk or severity of adverse effects increase,2
660,261047,Quetiapine,Vortioxetine,The risk or severity of adverse effects increase,2
661,261049,Quetiapine,Viloxazine,The risk or severity of adverse effects increase,2
662,261197,Esketamine,Quetiapine,The risk or severity of hypertension increase,9
663,264235,Clomipramine,Levomilnacipran,The risk or severity of adverse effects increase,2
664,264238,Clomipramine,Zimelidine,The risk or severity of adverse effects increase,2
665,264337,Vortioxetine,Clomipramine,The metabolism decrease,0
666,264345,Vilazodone,Clomipramine,The metabolism decrease,0
667,264346,Dosulepin,Clomipramine,The metabolism decrease,0
668,264365,Clomipramine,Brexanolone,The risk or severity of adverse effects increase,2
669,264384,Clomipramine,Cariprazine,The risk or severity of adverse effects increase,2
670,264386,Clomipramine,Mianserin,The risk or severity of adverse effects increase,2
671,264399,Clomipramine,Viloxazine,The risk or severity of adverse effects increase,2
672,264420,Clomipramine,Desvenlafaxine,The risk or severity of adverse effects increase,2
673,264518,Agomelatine,Clomipramine,The metabolism decrease,0
674,264550,Esketamine,Clomipramine,The risk or severity of hypertension increase,9
675,287058,Zimelidine,Desvenlafaxine,The risk or severity of adverse effects increase,2
676,287059,Zimelidine,Levomilnacipran,The risk or severity of adverse effects increase,2
677,287067,Cariprazine,Zimelidine,The risk or severity of adverse effects increase,2
678,287069,Mianserin,Zimelidine,The risk or severity of adverse effects increase,2
679,287077,Agomelatine,Zimelidine,The risk or severity of adverse effects increase,2
680,287079,Vilazodone,Zimelidine,The risk or severity of adverse effects increase,2
681,287087,Vortioxetine,Zimelidine,The risk or severity of adverse effects increase,2
682,287092,Dosulepin,Zimelidine,The risk or severity of adverse effects increase,2
683,287093,Viloxazine,Zimelidine,The risk or severity of adverse effects increase,2
684,287099,Brexanolone,Zimelidine,The risk or severity of adverse effects increase,2
685,287218,Zimelidine,Esketamine,The risk or severity of adverse effects increase,2
686,295231,Cariprazine,Desvenlafaxine,The risk or severity of adverse effects increase,2
687,295232,Cariprazine,Levomilnacipran,The risk or severity of adverse effects increase,2
688,295243,Vilazodone,Cariprazine,The metabolism decrease,0
689,295244,Dosulepin,Cariprazine,The metabolism decrease,0
690,295261,Cariprazine,Agomelatine,The risk or severity of adverse effects increase,2
691,295273,Cariprazine,Brexanolone,The risk or severity of adverse effects increase,2
692,295284,Cariprazine,Mianserin,The risk or severity of adverse effects increase,2
693,295292,Cariprazine,Vortioxetine,The risk or severity of adverse effects increase,2
694,295294,Cariprazine,Viloxazine,The risk or severity of adverse effects increase,2
695,295331,Esketamine,Cariprazine,The risk or severity of hypertension increase,9
696,295628,Mianserin,Dosulepin,the anticholinergic activities increase,60
697,295653,Brexanolone,Mianserin,The therapeutic efficacy decrease,6
698,295661,Mianserin,Desvenlafaxine,The risk or severity of adverse effects increase,2
699,295662,Mianserin,Levomilnacipran,The risk or severity of adverse effects increase,2
700,295667,Vilazodone,Mianserin,The metabolism decrease,0
701,295697,Mianserin,Vortioxetine,The risk or severity of adverse effects increase,2
702,295699,Mianserin,Viloxazine,The risk or severity of adverse effects increase,2
703,295753,Agomelatine,Mianserin,The metabolism decrease,0
704,295778,Esketamine,Mianserin,The risk or severity of hypertension increase,9
705,301985,Agomelatine,Dosulepin,The serum concentration increase,4
706,301988,Agomelatine,Desvenlafaxine,The risk or severity of adverse effects increase,2
707,301989,Agomelatine,Levomilnacipran,The risk or severity of adverse effects increase,2
708,301999,Agomelatine,Vilazodone,The risk or severity of adverse effects increase,2
709,302010,Agomelatine,Viloxazine,The risk or severity of adverse effects increase,2
710,302018,Agomelatine,Brexanolone,The risk or severity of adverse effects increase,2
711,302067,Vortioxetine,Agomelatine,The metabolism decrease,0
712,302086,Agomelatine,Esketamine,The risk or severity of adverse effects increase,2
713,303857,Vilazodone,Desvenlafaxine,The risk or severity of adverse effects increase,2
714,303863,Levomilnacipran,Vilazodone,The metabolism decrease,0
715,303865,Vortioxetine,Vilazodone,The metabolism decrease,0
716,303866,Dosulepin,Vilazodone,The metabolism decrease,0
717,303913,Vilazodone,Brexanolone,The risk or severity of adverse effects increase,2
718,303925,Vilazodone,Viloxazine,The risk or severity of adverse effects increase,2
719,303948,Esketamine,Vilazodone,The risk or severity of hypertension increase,9
720,304247,Brexanolone,Desvenlafaxine,The risk or severity of adverse effects increase,2
721,304251,Desvenlafaxine,Levomilnacipran,The risk or severity of adverse effects increase,2
722,304253,Desvenlafaxine,Vortioxetine,The risk or severity of adverse effects increase,2
723,304255,Desvenlafaxine,Viloxazine,The risk or severity of adverse effects increase,2
724,304384,Dosulepin,Desvenlafaxine,The metabolism decrease,0
725,304389,Desvenlafaxine,Esketamine,The risk or severity of adverse effects increase,2
726,311298,Brexanolone,Levomilnacipran,The risk or severity of adverse effects increase,2
727,311301,Levomilnacipran,Vortioxetine,The risk or severity of adverse effects increase,2
728,311303,Levomilnacipran,Viloxazine,The risk or severity of adverse effects increase,2
729,311336,Dosulepin,Levomilnacipran,The metabolism decrease,0
730,311422,Levomilnacipran,Esketamine,The risk or severity of adverse effects increase,2
731,313371,Dosulepin,Vortioxetine,The metabolism decrease,0
732,313382,Vortioxetine,Brexanolone,The risk or severity of adverse effects increase,2
733,313396,Vortioxetine,Viloxazine,The risk or severity of adverse effects increase,2
734,313499,Esketamine,Vortioxetine,The risk or severity of hypertension increase,9
735,315383,Brexanolone,Dosulepin,the central nervous system depressant ( CNS depressant ) activities increase,7
736,315426,Dosulepin,Viloxazine,The risk or severity of adverse effects increase,2
737,315458,Esketamine,Dosulepin,The risk or severity of hypertension increase,9
738,315611,Viloxazine,Brexanolone,The risk or severity of adverse effects increase,2
739,315671,Viloxazine,Esketamine,The risk or severity of adverse effects increase,2
740,320865,Brexanolone,Esketamine,The risk or severity of adverse effects increase,2
